"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"337","ENSG00000110244","","apolipoprotein A4(APOA4)","Homo sapiens"
"338","ENSG00000084674","","apolipoprotein B(APOB)","Homo sapiens"
"339","ENSG00000111701","","apolipoprotein B mRNA editing enzyme catalytic subunit 1(APOBEC1)","Homo sapiens"
"341","ENSG00000130208","","apolipoprotein C1(APOC1)","Homo sapiens"
"343","ENSG00000103375","","aquaporin 8(AQP8)","Homo sapiens"
"344","ENSG00000234906","","apolipoprotein C2(APOC2)","Homo sapiens"
"345","ENSG00000110245","","apolipoprotein C3(APOC3)","Homo sapiens"
"346","ENSG00000267467","","apolipoprotein C4(APOC4)","Homo sapiens"
"347","ENSG00000189058","","apolipoprotein D(APOD)","Homo sapiens"
"348","ENSG00000130203","","apolipoprotein E(APOE)","Homo sapiens"
"350","ENSG00000091583","","apolipoprotein H(APOH)","Homo sapiens"
"351","ENSG00000142192","","amyloid beta precursor protein(APP)","Homo sapiens"
"353","ENSG00000198931","","adenine phosphoribosyltransferase(APRT)","Homo sapiens"
"354","ENSG00000142515","","kallikrein related peptidase 3(KLK3)","Homo sapiens"
"355","ENSG00000026103","","Fas cell surface death receptor(FAS)","Homo sapiens"
"356","ENSG00000117560","","Fas ligand(FASLG)","Homo sapiens"
"357","ENSG00000146950","","shroom family member 2(SHROOM2)","Homo sapiens"
"358","ENSG00000240583","","aquaporin 1 (Colton blood group)(AQP1)","Homo sapiens"
"359","ENSG00000167580","","aquaporin 2(AQP2)","Homo sapiens"
"360","ENSG00000165272","","aquaporin 3 (Gill blood group)(AQP3)","Homo sapiens"
"361","ENSG00000171885","","aquaporin 4(AQP4)","Homo sapiens"
"362","ENSG00000161798","","aquaporin 5(AQP5)","Homo sapiens"
"363","ENSG00000086159","","aquaporin 6(AQP6)","Homo sapiens"
"364","ENSG00000165269","","aquaporin 7(AQP7)","Homo sapiens"
"366","ENSG00000103569","","aquaporin 9(AQP9)","Homo sapiens"
"367","ENSG00000169083","","androgen receptor(AR)","Homo sapiens"
"368","ENSG00000091262","","ATP binding cassette subfamily C member 6(ABCC6)","Homo sapiens"
"369","ENSG00000078061","","A-Raf proto-oncogene, serine/threonine kinase(ARAF)","Homo sapiens"
"372","ENSG00000095139","","archain 1 coat protein complex I subunit delta(ARCN1)","Homo sapiens"
"373","ENSG00000113595","","tripartite motif containing 23(TRIM23)","Homo sapiens"
"374","ENSG00000109321","","amphiregulin(AREG)","Homo sapiens"
"375","ENSG00000143761","","ARF GTPase 1(ARF1)","Homo sapiens"
"377","ENSG00000134287","","ARF GTPase 3(ARF3)","Homo sapiens"
"378","ENSG00000168374","","ARF GTPase 4(ARF4)","Homo sapiens"
"379","ENSG00000175906","","ARF like GTPase 4D(ARL4D)","Homo sapiens"
"381","ENSG00000004059","","ARF GTPase 5(ARF5)","Homo sapiens"
"382","ENSG00000165527","","ARF GTPase 6(ARF6)","Homo sapiens"
"383","ENSG00000118520","","arginase 1(ARG1)","Homo sapiens"
"384","ENSG00000081181","","arginase 2(ARG2)","Homo sapiens"
"387","ENSG00000067560","","ras homolog family member A(RHOA)","Homo sapiens"
"388","ENSG00000143878","","ras homolog family member B(RHOB)","Homo sapiens"
"389","ENSG00000155366","","ras homolog family member C(RHOC)","Homo sapiens"
"390","ENSG00000115963","","Rho family GTPase 3(RND3)","Homo sapiens"
"391","ENSG00000177105","","ras homolog family member G(RHOG)","Homo sapiens"
"392","ENSG00000175220","","Rho GTPase activating protein 1(ARHGAP1)","Homo sapiens"
"393","ENSG00000089820","","Rho GTPase activating protein 4(ARHGAP4)","Homo sapiens"
"394","ENSG00000100852","","Rho GTPase activating protein 5(ARHGAP5)","Homo sapiens"
"395","ENSG00000047648","","Rho GTPase activating protein 6(ARHGAP6)","Homo sapiens"
"396","ENSG00000141522","","Rho GDP dissociation inhibitor alpha(ARHGDIA)","Homo sapiens"
