gene_ID	counts	Control1	Control2	Control3
121601	ANKRD54	151	131	241
203859	ANKRD55	0	0	0
196527	ANKRD6	18	18	38
50636	ANKRD60	0	0	0
57719	ANKRD61	1	0	4
338440	ANKRD62	12	18	21
3730	ANKRD62P1-PARP4P3	22	14	37
8125	ANKRD63	2	2	0
80035	ANKRD65	0	0	1
723972	ANKRD66	0	0	0
10541	ANKRD7	0	0	0
23519	ANKRD9	325	247	385
81611	ANKS1A	118	151	182
290	ANKS1B	4	3	12
84168	ANKS3	69	53	86
118429	ANKS4B	9	6	12
195977	ANKS6	36	33	48
100996567	ANKUB1	0	0	0
301	ANKZF1	186	182	224
11199	ANLN	867	796	1476
311	ANO1	0	0	0
312	ANO1-AS2	0	0	0
302	ANO10	129	103	127
303	ANO2	1	1	5
304	ANO3	0	1	0
305	ANO4	3	0	10
389289	ANO5	70	67	107
306	ANO6	198	155	301
307	ANO7	11	9	8
308	ANO8	25	20	35
309	ANO9	30	13	16
310	ANOS1	0	1	2
653145	ANP32A	434	357	688
728113	ANP32A-IT1	4	4	5
8416	ANP32AP1	0	0	0
313	ANP32B	1959	2006	3193
100874264	ANP32C	0	0	0
26	ANP32D	0	0	0
314	ANP32E	862	653	1360
8639	ANPEP	2	0	0
90586	ANTXR1	0	0	9
316	ANTXR2	15	18	15
107161151	ANTXRL	0	0	0
55435	ANTXRLP1	0	0	0
162	ANXA1	4	3	10
23782	ANXA10	0	1	1
164	ANXA11	394	288	478
8906	ANXA13	0	0	0
8907	ANXA2	9	10	8
10053	ANXA2P1	0	0	0
1174	ANXA2P2	0	0	0
8905	ANXA2P3	2	0	2
130340	ANXA2R	50	45	54
160	ANXA3	8	15	20
161	ANXA4	160	104	291
163	ANXA5	476	396	875
1173	ANXA6	191	159	222
1175	ANXA7	362	250	530
8546	ANXA8	0	0	0
8120	ANXA8L1	0	0	0
8943	ANXA9	0	2	2
26985	AOAH	0	0	0
10947	AOAH-IT1	0	0	0
1176	AOC1	13	3	5
10239	AOC2	4	5	5
