gene_id	Ensamble	gene_name	BPH-1-1	BPH-1-2	BPH-1-3	BPH-1-4	DU145-1	DU145-2	DU145-3	DU145-4	PC3-1	PC3-2	PC3-3	PC3-4
378925	ENSG00000235631	RNF148	0	0	0	0.05979061	0	0	0	0.034798382	0.072078839	0.034047476	0	0
100133053	ENSG00000235699	CXorf51B	0	0	0	0	0	0	0	0	0	0	0	0
390616	ENSG00000235711	ANKRD34C	0	0	0	0	0	0	0	0	0	0	0	0
83552	ENSG00000235718	MFRP	0	0	0	0.046102085	0.022197199	0	0.023310607	0	0.069432371	0.013122975	0.051866809	0.041652909
9674	ENSG00000235750	KIAA0040	5.612730445	9.985923027	7.940489428	5.076349876	0.958780453	0.708557208	0.324524923	0.966636852	2.964516708	2.922346589	4.702264218	3.449837643
728393	ENSG00000235780	USP17L27	0	0	0	0	0	0	0	0	0	0	0	0
8705	ENSG00000235863	B3GALT4	0.676117266	1.313528088	0.439084137	1.053360636	18.01333015	10.8417634	22.65829787	12.1038866	0.1238376	0.116992895	0.202336802	0.340512309
448835	ENSG00000235942	LCE6A	0	0	0	0	0	0	0	0	0	0	0	0
84968	ENSG00000235961	PNMA6A	0.616547294	0.563543498	0.991496419	0.986218613	1.98345104	0.943726612	2.0828935	1.518389075	0	0	0	0
100169851	ENSG00000236027	PATE3	0	0	0	0	0	0	0	0	0	0	0	0
403273	ENSG00000236032	OR5H14	0	0	0	0	0	0	0	0	0	0	0	0.009186805
9278	ENSG00000236104	ZBTB22	2.328447494	2.697884937	2.433316552	2.507635409	4.315638054	3.494994522	5.193650432	3.183345648	3.521164452	3.673990034	4.452664268	5.254723093
645402	ENSG00000236125	USP17L4	0	0	0.080883547	0.281559643	0	0	0.081360312	0	0.096964816	0	0	0
728082	ENSG00000236126	CT47A3	0	0	0	0	0	0	0	0	0	0	0	0
154790	ENSG00000236279	CLEC2L	0	0	0	0	0	0.022285437	0.04712981	0.02711743	0	0	0	0
58486	ENSG00000236287	ZBED5	4.458932246	3.371138398	4.224013875	4.242358723	0.24726691	0.91641249	0.136015974	0.639977383	0.957650331	0.765509418	0.261342154	0.171861621
