"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"273","AMPH","","amphiphysin(AMPH)","Homo sapiens"
"274","BIN1","","bridging integrator 1(BIN1)","Homo sapiens"
"275","AMT","","aminomethyltransferase(AMT)","Homo sapiens"
"276","AMY1A","","amylase alpha 1A(AMY1A)","Homo sapiens"
"277","AMY1B","","amylase alpha 1B(AMY1B)","Homo sapiens"
"278","AMY1C","","amylase alpha 1C(AMY1C)","Homo sapiens"
"279","AMY2A","","amylase alpha 2A(AMY2A)","Homo sapiens"
"280","AMY2B","","amylase alpha 2B(AMY2B)","Homo sapiens"
"283","ANG","","angiogenin(ANG)","Homo sapiens"
"284","ANGPT1","","angiopoietin 1(ANGPT1)","Homo sapiens"
"285","ANGPT2","","angiopoietin 2(ANGPT2)","Homo sapiens"
"286","ANK1","","ankyrin 1(ANK1)","Homo sapiens"
"287","ANK2","","ankyrin 2(ANK2)","Homo sapiens"
"288","ANK3","","ankyrin 3(ANK3)","Homo sapiens"
"290","ANPEP","","alanyl aminopeptidase, membrane(ANPEP)","Homo sapiens"
"291","SLC25A4","","solute carrier family 25 member 4(SLC25A4)","Homo sapiens"
"292","SLC25A5","","solute carrier family 25 member 5(SLC25A5)","Homo sapiens"
"293","SLC25A6","","solute carrier family 25 member 6(SLC25A6)","Homo sapiens"
"301","ANXA1","","annexin A1(ANXA1)","Homo sapiens"
"302","ANXA2","","annexin A2(ANXA2)","Homo sapiens"
"303","ANXA2P1","","annexin A2 pseudogene 1(ANXA2P1)","Homo sapiens"
"305","ANXA2P3","","annexin A2 pseudogene 3(ANXA2P3)","Homo sapiens"
"306","ANXA3","","annexin A3(ANXA3)","Homo sapiens"
"307","ANXA4","","annexin A4(ANXA4)","Homo sapiens"
"308","ANXA5","","annexin A5(ANXA5)","Homo sapiens"
"309","ANXA6","","annexin A6(ANXA6)","Homo sapiens"
"310","ANXA7","","annexin A7(ANXA7)","Homo sapiens"
"311","ANXA11","","annexin A11(ANXA11)","Homo sapiens"
"312","ANXA13","","annexin A13(ANXA13)","Homo sapiens"
"313","AOAH","","acyloxyacyl hydrolase(AOAH)","Homo sapiens"
"314","AOC2","","amine oxidase copper containing 2(AOC2)","Homo sapiens"
"316","AOX1","","aldehyde oxidase 1(AOX1)","Homo sapiens"
"317","APAF1","","apoptotic peptidase activating factor 1(APAF1)","Homo sapiens"
"318","NUDT2","","nudix hydrolase 2(NUDT2)","Homo sapiens"
"319","APOF","","apolipoprotein F(APOF)","Homo sapiens"
"320","APBA1","","amyloid beta precursor protein binding family A member 1(APBA1)","Homo sapiens"
"321","APBA2","","amyloid beta precursor protein binding family A member 2(APBA2)","Homo sapiens"
"322","APBB1","","amyloid beta precursor protein binding family B member 1(APBB1)","Homo sapiens"
"323","APBB2","","amyloid beta precursor protein binding family B member 2(APBB2)","Homo sapiens"
"324","APC","","APC regulator of Wnt signaling pathway(APC)","Homo sapiens"
"325","APCS","","amyloid P component, serum(APCS)","Homo sapiens"
"326","AIRE","","autoimmune regulator(AIRE)","Homo sapiens"
"327","APEH","","acylaminoacyl-peptide hydrolase(APEH)","Homo sapiens"
"328","APEX1","","apurinic/apyrimidinic endodeoxyribonuclease 1(APEX1)","Homo sapiens"
"329","BIRC2","","baculoviral IAP repeat containing 2(BIRC2)","Homo sapiens"
"330","BIRC3","","baculoviral IAP repeat containing 3(BIRC3)","Homo sapiens"
"331","XIAP","","X-linked inhibitor of apoptosis(XIAP)","Homo sapiens"
"332","BIRC5","","baculoviral IAP repeat containing 5(BIRC5)","Homo sapiens"
"333","APLP1","","amyloid beta precursor like protein 1(APLP1)","Homo sapiens"
"334","APLP2","","amyloid beta precursor like protein 2(APLP2)","Homo sapiens"
"335","APOA1","","apolipoprotein A1(APOA1)","Homo sapiens"
"336","APOA2","","apolipoprotein A2(APOA2)","Homo sapiens"
"337","APOA4","","apolipoprotein A4(APOA4)","Homo sapiens"
"338","APOB","","apolipoprotein B(APOB)","Homo sapiens"
"339","APOBEC1","","apolipoprotein B mRNA editing enzyme catalytic subunit 1(APOBEC1)","Homo sapiens"
"341","APOC1","","apolipoprotein C1(APOC1)","Homo sapiens"
"342","APOC1P1","","apolipoprotein C1 pseudogene 1(APOC1P1)","Homo sapiens"
"343","AQP8","","aquaporin 8(AQP8)","Homo sapiens"
"344","APOC2","","apolipoprotein C2(APOC2)","Homo sapiens"
"345","APOC3","","apolipoprotein C3(APOC3)","Homo sapiens"
"346","APOC4","","apolipoprotein C4(APOC4)","Homo sapiens"
"347","APOD","","apolipoprotein D(APOD)","Homo sapiens"
"348","APOE","","apolipoprotein E(APOE)","Homo sapiens"
"350","APOH","","apolipoprotein H(APOH)","Homo sapiens"
"351","APP","","amyloid beta precursor protein(APP)","Homo sapiens"
"353","APRT","","adenine phosphoribosyltransferase(APRT)","Homo sapiens"
"354","KLK3","","kallikrein related peptidase 3(KLK3)","Homo sapiens"
"355","FAS","","Fas cell surface death receptor(FAS)","Homo sapiens"
"356","FASLG","","Fas ligand(FASLG)","Homo sapiens"
"357","SHROOM2","","shroom family member 2(SHROOM2)","Homo sapiens"
"358","AQP1","","aquaporin 1 (Colton blood group)(AQP1)","Homo sapiens"
"359","AQP2","","aquaporin 2(AQP2)","Homo sapiens"
"360","AQP3","","aquaporin 3 (Gill blood group)(AQP3)","Homo sapiens"
"361","AQP4","","aquaporin 4(AQP4)","Homo sapiens"
"362","AQP5","","aquaporin 5(AQP5)","Homo sapiens"
"363","AQP6","","aquaporin 6(AQP6)","Homo sapiens"
"364","AQP7","","aquaporin 7(AQP7)","Homo sapiens"
"366","AQP9","","aquaporin 9(AQP9)","Homo sapiens"
"367","AR","","androgen receptor(AR)","Homo sapiens"
"368","ABCC6","","ATP binding cassette subfamily C member 6(ABCC6)","Homo sapiens"
"369","ARAF","","A-Raf proto-oncogene, serine/threonine kinase(ARAF)","Homo sapiens"
"372","ARCN1","","archain 1 coat protein complex I subunit delta(ARCN1)","Homo sapiens"
"373","TRIM23","","tripartite motif containing 23(TRIM23)","Homo sapiens"
"374","AREG","","amphiregulin(AREG)","Homo sapiens"
"375","ARF1","","ARF GTPase 1(ARF1)","Homo sapiens"
"377","ARF3","","ARF GTPase 3(ARF3)","Homo sapiens"
"378","ARF4","","ARF GTPase 4(ARF4)","Homo sapiens"
"379","ARL4D","","ARF like GTPase 4D(ARL4D)","Homo sapiens"
"381","ARF5","","ARF GTPase 5(ARF5)","Homo sapiens"
"382","ARF6","","ARF GTPase 6(ARF6)","Homo sapiens"
"383","ARG1","","arginase 1(ARG1)","Homo sapiens"
"384","ARG2","","arginase 2(ARG2)","Homo sapiens"
"387","RHOA","","ras homolog family member A(RHOA)","Homo sapiens"
"388","RHOB","","ras homolog family member B(RHOB)","Homo sapiens"
"389","RHOC","","ras homolog family member C(RHOC)","Homo sapiens"
"390","RND3","","Rho family GTPase 3(RND3)","Homo sapiens"
"391","RHOG","","ras homolog family member G(RHOG)","Homo sapiens"
"392","ARHGAP1","","Rho GTPase activating protein 1(ARHGAP1)","Homo sapiens"
"393","ARHGAP4","","Rho GTPase activating protein 4(ARHGAP4)","Homo sapiens"
"394","ARHGAP5","","Rho GTPase activating protein 5(ARHGAP5)","Homo sapiens"
"395","ARHGAP6","","Rho GTPase activating protein 6(ARHGAP6)","Homo sapiens"
"396","ARHGDIA","","Rho GDP dissociation inhibitor alpha(ARHGDIA)","Homo sapiens"
"397","ARHGDIB","","Rho GDP dissociation inhibitor beta(ARHGDIB)","Homo sapiens"
"398","ARHGDIG","","Rho GDP dissociation inhibitor gamma(ARHGDIG)","Homo sapiens"
"399","RHOH","","ras homolog family member H(RHOH)","Homo sapiens"
"400","ARL1","","ARF like GTPase 1(ARL1)","Homo sapiens"
"401","PHOX2A","","paired like homeobox 2A(PHOX2A)","Homo sapiens"
"402","ARL2","","ARF like GTPase 2(ARL2)","Homo sapiens"
"403","ARL3","","ARF like GTPase 3(ARL3)","Homo sapiens"
"405","ARNT","","aryl hydrocarbon receptor nuclear translocator(ARNT)","Homo sapiens"
"407","ARR3","","arrestin 3(ARR3)","Homo sapiens"
"408","ARRB1","","arrestin beta 1(ARRB1)","Homo sapiens"
"409","ARRB2","","arrestin beta 2(ARRB2)","Homo sapiens"
"410","ARSA","","arylsulfatase A(ARSA)","Homo sapiens"
"411","ARSB","","arylsulfatase B(ARSB)","Homo sapiens"
"412","STS","","steroid sulfatase(STS)","Homo sapiens"
"414","ARSD","","arylsulfatase D(ARSD)","Homo sapiens"
"416","ARSF","","arylsulfatase F(ARSF)","Homo sapiens"
"417","ART1","","ADP-ribosyltransferase 1(ART1)","Homo sapiens"
"419","ART3","","ADP-ribosyltransferase 3 (inactive)(ART3)","Homo sapiens"
"420","ART4","","ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)(ART4)","Homo sapiens"
"421","ARVCF","","ARVCF delta catenin family member(ARVCF)","Homo sapiens"
"427","ASAH1","","N-acylsphingosine amidohydrolase 1(ASAH1)","Homo sapiens"
"429","ASCL1","","achaete-scute family bHLH transcription factor 1(ASCL1)","Homo sapiens"
"430","ASCL2","","achaete-scute family bHLH transcription factor 2(ASCL2)","Homo sapiens"
"432","ASGR1","","asialoglycoprotein receptor 1(ASGR1)","Homo sapiens"
"433","ASGR2","","asialoglycoprotein receptor 2(ASGR2)","Homo sapiens"
"434","ASIP","","agouti signaling protein(ASIP)","Homo sapiens"
"435","ASL","","argininosuccinate lyase(ASL)","Homo sapiens"
"438","ASMT","","acetylserotonin O-methyltransferase(ASMT)","Homo sapiens"
"440","ASNS","","asparagine synthetase (glutamine-hydrolyzing)(ASNS)","Homo sapiens"
"443","ASPA","","aspartoacylase(ASPA)","Homo sapiens"
"444","ASPH","","aspartate beta-hydroxylase(ASPH)","Homo sapiens"
"445","ASS1","","argininosuccinate synthase 1(ASS1)","Homo sapiens"
"460","ASTN1","","astrotactin 1(ASTN1)","Homo sapiens"
"462","SERPINC1","","serpin family C member 1(SERPINC1)","Homo sapiens"
"463","ZFHX3","","zinc finger homeobox 3(ZFHX3)","Homo sapiens"
"466","ATF1","","activating transcription factor 1(ATF1)","Homo sapiens"
"467","ATF3","","activating transcription factor 3(ATF3)","Homo sapiens"
"468","ATF4","","activating transcription factor 4(ATF4)","Homo sapiens"
"471","ATIC","","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC)","Homo sapiens"
"472","ATM","","ATM serine/threonine kinase(ATM)","Homo sapiens"
"473","RERE","","arginine-glutamic acid dipeptide repeats(RERE)","Homo sapiens"
"474","ATOH1","","atonal bHLH transcription factor 1(ATOH1)","Homo sapiens"
"475","ATOX1","","antioxidant 1 copper chaperone(ATOX1)","Homo sapiens"
"476","ATP1A1","","ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)","Homo sapiens"
"477","ATP1A2","","ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)","Homo sapiens"
"478","ATP1A3","","ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)","Homo sapiens"
"479","ATP12A","","ATPase H+/K+ transporting non-gastric alpha2 subunit(ATP12A)","Homo sapiens"
"480","ATP1A4","","ATPase Na+/K+ transporting subunit alpha 4(ATP1A4)","Homo sapiens"
